  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024-01-21, 10:21:40,  +00:00,       ,   47.3818054,    9.6982985,  1302.3, 30.42,  1343.1,   1.2,   0.00,   0.00,   -4.09,   1.31,   1.36,  -0.03,  -0.02,  37.0, 356.4,  28.0,  28.0,   3.0,   0.5,  20.05,  20.81,     2.44,  136.57,   58.77, 1074.3,  193.32,  187.58,  202.38,  205.56, 1066.10, 1083.84, 1054.17, 1068.58,  1500.1,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.7,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:41,  +00:00,       ,   47.3818054,    9.6982994,  1302.3, 30.42,  1343.1,   1.2,   0.00,   0.00,   -1.20,   1.30,   1.36,  -0.03,  -0.02,  37.0, 356.4,  28.0,  28.0,   3.0,   0.5,  20.02,  20.80,     2.53,  136.53,   58.80, 1053.4,  193.82,  188.04,  202.77,  206.04, 1067.24, 1084.14, 1052.27, 1064.55,  1500.2,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   1.0,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:42,  +00:00,       ,   47.3818016,    9.6983004,  1302.3, 30.42,  1343.2,   1.2,   0.00,   0.00,    0.77,   1.33,   1.33,  -0.02,   0.01,  37.0, 356.4,  28.0,  28.0,   3.0,   0.5,  20.01,  20.78,     2.60,  136.48,   58.94, 1057.1,  194.18,  188.38,  203.14,  206.41, 1066.09, 1081.51, 1049.10, 1061.46,  1500.2,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -1.7,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:43,  +00:00,       ,   47.3818016,    9.6983013,  1302.3, 30.42,  1343.2,   1.2,   0.00,   0.00,    9.59,   1.31,   1.37,  -0.03,  -0.00,  37.0, 356.4,  28.0,  28.0,   2.9,   0.5,  19.98,  20.76,     2.47,  136.43,   59.05, 1065.7,  194.59,  188.74,  203.53,  206.81, 1065.41, 1079.13, 1048.04, 1059.55,  1500.2,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -2.3,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:44,  +00:00,       ,   47.3818016,    9.6983023,  1302.3, 30.42,  1343.3,   1.2,   0.00,   0.00,    3.64,   1.30,   1.35,  -0.03,  -0.00,  37.0, 356.4,  28.0,  28.0,   2.9,   0.5,  19.95,  20.73,     2.45,  136.39,   59.11, 1068.0,  195.06,  189.16,  203.90,  207.27, 1066.46, 1077.64, 1046.72, 1058.38,  1500.4,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.2,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:45,  +00:00,       ,   47.3818016,    9.6983023,  1301.3, 30.42,  1343.4,   1.2,   0.00,   0.00,  -12.91,   1.26,   1.37,  -0.02,  -0.00,  37.0, 356.4,  28.0,  28.0,   2.8,   0.4,  19.96,  20.76,     2.47,  136.34,   59.24, 1073.6,  195.44,  189.53,  204.24,  207.68, 1065.29, 1077.39, 1046.43, 1057.60,  1500.5,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.9,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:46,  +00:00,       ,   47.3818016,    9.6983023,  1301.3, 30.42,  1343.3,   1.2,   0.00,   0.00,   -8.95,   1.30,   1.36,  -0.02,  -0.03,  37.0, 356.4,  28.0,  28.0,   2.9,   0.4,  19.90,  20.72,     2.68,  136.30,   59.39, 1086.1,  195.90,  189.98,  204.75,  208.14, 1061.81, 1076.57, 1046.64, 1057.17,  1500.4,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -0.0,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:47,  +00:00,       ,   47.3818016,    9.6983032,  1301.3, 30.42,  1343.4,   1.2,   0.00,   0.00,   -5.92,   1.29,   1.37,  -0.02,  -0.00,  37.0, 356.4,  27.9,  27.9,   2.7,   0.5,  19.92,  20.72,     2.52,  136.25,   59.37, 1087.8,  196.30,  190.33,  205.05,  208.55, 1062.75, 1075.41, 1047.06, 1058.15,  1500.5,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   1.2,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:48,  +00:00,   EDTY,   47.3818016,    9.6983023,  1301.3, 30.42,  1343.2,   1.2,   0.00,   0.00,   -2.12,   1.31,   1.35,  -0.03,   0.02,  36.9, 356.4,  27.9,  28.0,   2.8,   0.4,  19.93,  20.73,     2.61,  136.21,   59.38, 1088.3,  196.57,  190.61,  205.49,  208.82, 1062.36, 1074.72, 1047.16, 1060.06,  1500.3,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -0.9,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:49,  +00:00,   EDTY,   47.3818016,    9.6983023,  1302.3, 30.42,  1343.2,   1.0,   0.00,   0.00,    0.04,   1.27,   1.41,  -0.03,   0.00,  37.0, 356.4,  28.0,  28.0,   2.8,   0.5,  19.87,  20.69,     2.49,  136.16,   59.36, 1088.2,  196.30,  190.33,  205.10,  208.60, 1060.33, 1074.75, 1048.68, 1061.46,  1500.3,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -1.2,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:50,  +00:00,   EDTY,   47.3818016,    9.6983023,  1301.3, 30.42,  1343.2,   1.0,   0.00,   0.00,    0.23,   1.31,   1.40,  -0.03,   0.00,  37.0, 356.4,  28.0,  28.0,   2.8,   0.5,  19.89,  20.68,     2.50,  136.12,   59.43, 1091.6,  196.64,  190.60,  205.41,  208.91, 1062.97, 1075.74, 1048.59, 1062.47,  1500.3,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -3.0,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:51,  +00:00,   EDTY,   47.3818016,    9.6983023,  1300.3, 30.42,  1343.5,   1.0,   0.00,   0.00,  -24.98,   1.32,   1.40,  -0.02,   0.01,  37.0, 356.4,  28.0,  28.0,   2.8,   0.5,  19.84,  20.71,     2.51,  136.07,   59.52, 1096.1,  197.10,  191.03,  205.80,  209.39, 1064.81, 1077.41, 1050.15, 1061.95,  1500.6,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   0.3,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:52,  +00:00,   EDTY,   47.3817978,    9.6983023,  1300.3, 30.42,  1344.1,   1.0,   0.00,   0.00,  -10.30,   1.29,   1.42,  -0.03,  -0.02,  36.8, 356.4,  28.0,  28.0,   2.8,   0.4,  19.88,  20.74,     2.45,  136.02,   59.52, 1096.0,  197.49,  191.41,  206.08,  209.76, 1065.64, 1077.85, 1050.64, 1062.26,  1501.1,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   5.0,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:53,  +00:00,   EDTY,   47.3817978,    9.6983023,  1300.3, 30.42,  1344.3,   1.0,   0.00,   0.00,  -22.12,   1.30,   1.40,  -0.02,  -0.00,  36.8, 356.4,  28.0,  28.0,   2.8,   0.4,  19.90,  20.74,     2.43,  135.98,   59.53, 1097.7,  197.91,  191.85,  206.56,  210.22, 1064.18, 1079.09, 1051.46, 1063.64,  1501.4,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -0.9,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:54,  +00:00,   EDTY,   47.3817978,    9.6983023,  1300.3, 30.42,  1344.7,   1.0,   0.00,   0.00,   -6.42,   1.30,   1.41,  -0.03,  -0.02,  36.8, 356.4,  28.0,  28.0,   2.7,   0.4,  19.88,  20.72,     2.51,  135.93,   59.53, 1097.9,  198.27,  192.18,  206.89,  210.59, 1063.65, 1079.85, 1053.02, 1065.49,  1501.8,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   0.7,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:55,  +00:00,   EDTY,   47.3817978,    9.6983023,  1300.3, 30.42,  1344.8,   1.0,   0.00,   0.00,  -12.58,   1.30,   1.43,  -0.02,   0.00,  36.9, 356.4,  28.0,  28.0,   2.7,   0.4,  19.85,  20.69,     2.52,  135.89,   59.63, 1101.9,  198.66,  192.54,  207.27,  210.96, 1062.43, 1080.31, 1053.74, 1067.73,  1501.9,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -2.2,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:56,  +00:00,   EDTY,   47.3817978,    9.6983023,  1301.3, 30.42,  1345.0,   1.0,   0.00,   0.00,    6.11,   1.27,   1.40,  -0.03,  -0.00,  36.9, 356.4,  28.0,  28.0,   2.7,   0.4,  19.81,  20.65,     2.40,  135.84,   59.56, 1103.0,  199.13,  193.00,  207.68,  211.44, 1063.67, 1079.97, 1054.58, 1069.80,  1502.1,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -0.3,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:57,  +00:00,   EDTY,   47.3817978,    9.6983013,  1301.3, 30.42,  1344.7,   1.0,   0.00,   0.00,   13.12,   1.29,   1.38,  -0.02,   0.03,  36.9, 356.4,  28.0,  28.0,   2.7,   0.4,  19.79,  20.63,     2.50,  135.80,   59.67, 1105.5,  199.51,  193.35,  208.06,  211.84, 1064.22, 1080.27, 1056.22, 1071.55,  1501.8,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   0.8,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:58,  +00:00,   EDTY,   47.3817978,    9.6983013,  1300.3, 30.42,  1344.7,   1.0,   0.00,   0.00,   -0.89,   1.27,   1.37,  -0.01,   0.00,  36.9, 356.4,  28.0,  28.0,   2.7,   0.4,  19.79,  20.62,     2.38,  135.75,   59.64, 1103.8,  199.97,  193.79,  208.49,  212.26, 1066.30, 1080.57, 1058.18, 1072.63,  1501.8,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   5.0,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:59,  +00:00,   EDTY,   47.3817978,    9.6983004,  1300.3, 30.42,  1344.0,   1.0,   0.00,   0.00,  -13.20,   1.30,   1.38,  -0.02,   0.01,  36.9, 356.4,  28.0,  28.0,   2.7,   0.4,  19.82,  20.63,     2.52,  135.71,   59.65, 1103.6,  200.34,  194.11,  208.81,  212.66, 1068.96, 1081.14, 1059.39, 1073.29,  1501.1,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   0.1,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:00,  +00:00,   EDTY,   47.3818016,    9.6983004,  1301.3, 30.42,  1343.4,   1.0,   0.00,   0.00,   16.41,   1.26,   1.42,  -0.03,  -0.00,  36.9, 356.4,  28.0,  28.0,   2.7,   0.4,  19.80,  20.65,     2.47,  135.65,   59.75, 1109.0,  200.75,  194.53,  209.17,  213.05, 1069.36, 1081.88, 1059.13, 1073.29,  1500.5,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   2.0,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:01,  +00:00,   EDTY,   47.3818016,    9.6983004,  1301.3, 30.42,  1343.0,   1.0,   0.00,   0.00,   20.96,   1.26,   1.40,  -0.02,  -0.01,  36.9, 356.4,  28.0,  28.0,   2.7,   0.4,  19.73,  20.67,     2.48,  135.61,   59.76, 1110.5,  201.04,  194.79,  209.61,  213.33, 1070.62, 1082.03, 1059.73, 1073.59,  1500.1,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -0.8,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:02,  +00:00,   EDTY,   47.3818016,    9.6983004,  1301.3, 30.42,  1342.8,   0.8,   0.00,   0.00,    5.39,   1.30,   1.37,  -0.02,   0.01,  36.9, 356.4,  28.0,  28.0,   2.6,   0.4,  19.72,  20.68,     2.37,  135.56,   59.78, 1111.7,  200.79,  194.55,  209.21,  213.12, 1069.83, 1083.72, 1058.85, 1073.81,  1499.8,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -1.7,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:03,  +00:00,   EDTY,   47.3818016,    9.6983013,  1301.3, 30.42,  1342.6,   0.8,   0.00,   0.00,    2.68,   1.30,   1.41,  -0.02,   0.01,  36.9, 356.4,  28.0,  28.0,   2.6,   0.4,  19.77,  20.68,     2.29,  135.51,   59.75, 1109.6,  201.11,  194.84,  209.42,  213.40, 1070.39, 1085.54, 1059.43, 1075.75,  1499.7,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -0.6,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:04,  +00:00,   EDTY,   47.3818054,    9.6983023,  1300.3, 30.42,  1342.5,   0.8,   0.00,   0.00,  -19.58,   1.27,   1.37,  -0.03,  -0.02,  36.9, 356.4,  28.0,  28.0,   2.6,   0.4,  19.83,  20.70,     2.26,  135.46,   59.66, 1104.8,  201.58,  195.24,  209.89,  213.86, 1070.95, 1086.48, 1060.35, 1076.69,  1499.6,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   2.7,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:05,  +00:00,   EDTY,   47.3818054,    9.6983023,  1300.3, 30.42,  1341.9,   0.8,   0.00,   0.00,  -15.18,   1.31,   1.38,  -0.03,  -0.00,  36.9, 356.4,  28.0,  28.0,   2.6,   0.4,  19.85,  20.72,     2.30,  135.41,   59.71, 1104.9,  201.94,  195.59,  210.25,  214.24, 1072.55, 1086.45, 1061.49, 1076.63,  1499.0,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -0.7,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:06,  +00:00,   EDTY,   47.3818054,    9.6983023,  1300.3, 30.42,  1342.5,   0.8,   0.00,   0.00,  -19.95,   1.32,   1.37,  -0.03,  -0.01,  36.9, 356.4,  28.0,  28.0,   2.6,   0.4,  20.16,  20.87,     2.31,  135.36,   59.74, 1109.5,  202.32,  195.98,  210.62,  214.63, 1069.27, 1086.31, 1062.71, 1076.72,  1499.6,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   0.1,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:07,  +00:00,   EDTY,   47.3818054,    9.6983023,  1300.3, 30.42,  1342.8,   0.8,   0.00,   0.00,  -10.21,   1.30,   1.37,  -0.02,  -0.01,  36.9, 356.4,  28.0,  28.0,   2.5,   0.4,  20.43,  21.12,     2.32,  135.31,   59.65, 1104.9,  202.76,  196.42,  211.06,  215.08, 1068.68, 1087.37, 1063.72, 1076.43,  1499.9,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   2.9,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:08,  +00:00,   EDTY,   47.3818054,    9.6983023,  1300.3, 30.42,  1342.9,   0.8,   0.00,   0.00,   10.06,   1.32,   1.37,  -0.02,   0.02,  37.0, 356.4,  28.0,  28.0,   2.5,   0.4,  20.51,  21.26,     2.26,  135.26,   59.77, 1107.4,  203.18,  196.81,  211.40,  215.44, 1070.49, 1088.64, 1064.04, 1076.34,  1500.0,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -2.9,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:09,  +00:00,   EDTY,   47.3818054,    9.6983013,  1300.3, 30.42,  1342.3,   0.8,   0.00,   0.00,    4.81,   1.31,   1.36,  -0.03,   0.01,  36.9, 356.4,  28.0,  28.0,   2.5,   0.4,  20.59,  21.31,     2.28,  135.22,   59.74, 1108.8,  203.65,  197.25,  211.92,  215.93, 1068.50, 1088.78, 1065.36, 1076.98,  1499.3,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,  -0.4,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:11,  +00:00,   EDTY,   47.3818054,    9.6982994,  1301.3, 30.42,  1341.3,   0.8,   0.00,   0.00,    9.92,   1.32,   1.34,  -0.03,  -0.01,  36.9, 356.4,  28.0,  28.0,   2.5,   0.4,  20.72,  21.39,     2.32,  135.12,   59.81, 1110.7,  204.40,  197.97,  212.52,  216.64, 1070.64, 1090.96, 1066.62, 1078.96,  1498.4,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   0.5,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:22:12,  +00:00,   EDTY,   47.3818054,    9.6982985,  1301.3, 30.42,  1340.9,   0.8,   0.00,   0.00,   22.04,   1.33,   1.36,  -0.02,   0.01,  37.0, 356.4,  28.0,  28.0,   2.5,   0.4,  20.71,  21.42,     2.32,  135.06,   59.79, 1111.4,  204.89,  198.39,  213.08,  217.10, 1071.62, 1091.01, 1066.59, 1079.03,  1498.0,   0,  GPS,  358.2, 111.10, 112.60, 121.205, 118.855,  0.000,       ,       ,      ,  104.3,   -1.8,    3.6,       ,      ,       ,      ,      ,   2.6,     3D, 3704,      ,       ,      ,       
